FID,Shape *,type,idschool,district,name,dcode,address,x,y
127,Point,2,3110010704,บางซื่อ,โรงเรียนวัดทองสุทธาราม,1029,26 ถ.กรุงเทพ-นนทบุรี แขวงบางซื่อ เขตบางซื่อ,665341.215,1529769.716
128,Point,3,3110010706,บางซื่อ,โรงเรียนวัดเลียบราษฎร์บำรุง,1029,1451 ซ.จงสุข แขวงบางซื่อ เขตบางซื่อ,664422.661,1529306.229
129,Point,1,3110010707,บางซื่อ,โรงเรียนวัดประชาศรัทธาธรรม,1029,7102 ถ.วงศ์สว่าง แขวงบางซื่อ เขตบางซื่อ,664199.363,1528174.119
130,Point,2,3110020705,บางซื่อ,โรงเรียนวัดมัชฌันติการาม,1029,203 ถ.วงศ์สว่าง แขวงบางซื่อ เขตบางซื่อ,663995.032,1528567.44
131,Point,3,3110013901,หลักสี่,โรงเรียนวัดหลักสี่ (ทองใบ ทิวารี),1041,487/1 ถ.วิภาวดีรังสิต แขวงตลาดบางเขน เขตหลักสี่,670995.585,1536043.043
132,Point,2,3110013904,หลักสี่,โรงเรียนเคหะทุ่งสองห้องวิทยา 2,1041,314 หมู่ 2 ถ.วิภาวดีรังสิต แขวงทุ่งสองห้อง เขตหลักสี่,670564.792,1537483.949
133,Point,3,3110013906,หลักสี่,โรงเรียนบางเขน (ไว้สาลีอนุสรณ์),1041,106 หมู่ 1 ถ.วิภาวดีรังสิต แขวงตลาดบางเขน เขตหลักสี่,669355.24,1532888.956
134,Point,3,3110023902,หลักสี่,โรงเรียนทุ่งสองห้อง,1041,207 หมู่ 4 ถ.แจ้งวัฒนะ แขวงทุ่งสองห้อง เขตหลักสี่,668612.974,1535596.569
135,Point,3,3110023903,หลักสี่,โรงเรียนเคหะทุ่งสองห้องวิทยา 1,1041,326 ถ.วิภาวดีรังสิต แขวงทุ่งสองห้อง เขตหลักสี่,671064.543,1537345.074
136,Point,3,3110023905,หลักสี่,โรงเรียนการเคหะท่าทราย,1041,304/233 หมู่ 6 แขวงทุ่งสองห้อง เขตหลักสี่,667850.869,1534271.928
137,Point,3,3110014002,สายไหม,โรงเรียนวัดเกาะสุวรรณาราม,1042,1 หมู่ 3 ถ.พหลโยธิน แขวงคลองถนน เขตสายไหม,676534.298,1538171.079
138,Point,2,3110014003,สายไหม,โรงเรียนออเงิน,1042,60 หมู่ 1 ถ.สุขาภิบาล 5 แขวงออเงิน เขตสายไหม,679897.194,1537731.048
